"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1970",2.55239452299587,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1971",2.85136866897565,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1972",3.18368565670658,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1973",3.83720535164235,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1974",4.69022638202192,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1975",5.20203900024966,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1976",5.79387443826547,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1977",6.26789850270441,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1978",6.59021263796185,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1979",7.46046080315691,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1980",8.43462749127118,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1981",9.70776832553803,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1982",10.0550895919792,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1983",10.6296978951795,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1984",11.8539358951315,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1985",13.0620581883205,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1986",13.9703339692587,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1987",14.7790179940529,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1988",18.1089439108463,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1989",22.5877338167283,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1990",22.9337771869399,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1991",23.5289717837039,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1992",23.888856888724,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1993",24.5117349551049,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1994",25.389696420099,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1995",25.6961919765722,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1996",25.9038179986991,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1997",26.941948109334,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1998",28.9213161869446,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1999",31.0193277057705,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2000",33.5958677708319,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2001",37.3687292014822,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2002",44.3726470145656,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2003",52.3758635705696,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2004",55.6468976369558,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2005",56.664709342083,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2006",60.5793697475723,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2007",66.9602662033699,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2008",69.6026619787002,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2009",72.4212174665525,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2010",80.8768839401095,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2011",79.1348600623917,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2012",78.8804071348599,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2013",84.1064787705132,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2014",91.7204932589649,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2016",105.500097863187,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2017",114.308083788525,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1970",57.1882724528279,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1971",58.6762164993614,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1972",59.7017110210688,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1973",61.8247514863971,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1974",62.7418559662286,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1975",58.337232209011,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1976",58.0211835985664,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1977",56.8644295636548,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1978",54.1959073689055,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1979",54.7822195003022,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1980",55.7043372429405,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1981",57.437798739418,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1982",53.7609164876693,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1983",52.6154406331746,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1984",53.8366601678852,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1985",55.5739934112661,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1986",55.5070637978831,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1987",55.2082082350287,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1988",61.9474858078326,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1989",69.7511400168951,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1990",65.7456412216468,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1991",66.7990921249078,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1992",65.9841351014467,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1993",66.1574759573432,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1994",65.4339769142565,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1995",63.308170700472,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1996",60.7342205692388,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1997",61.0397788861923,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1998",64.5044775525102,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","1999",66.0662777978578,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2000",68.004162233096,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2001",69.90780767544,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2002",81.3565687340307,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2003",92.0007525859957,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2004",91.3266820825794,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2005",88.4091202152461,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2006",89.8290071532176,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2007",91.3069634999819,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2008",88.1783474610795,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2009",87.649973176185,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2010",94.275132132343,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2011",86.7336388332135,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2012",85.0673718823418,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2013",88.1354198557605,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2014",92.9174218199026,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2015",100,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2016",105.23537022734,
"AUS","HOUSECOST","PRICEINCOME","IDX2015","A","2017",113.928379035544,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1973",40.9204400865741,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1974",45.06370227974,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1975",42.9201968460228,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1976",41.7046477774883,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1977",40.631262224376,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1978",39.4635963265998,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1979",41.1630603860386,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1980",43.5730261239869,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1981",46.4068645108754,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1982",43.0481443487114,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1983",41.7516118801208,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1984",43.3763675003044,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1985",44.0625833197807,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1986",42.7378863648112,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1987",40.9726911129787,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1988",44.9667341286903,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1989",51.3446356982599,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1990",49.1969130910808,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1991",48.8621002345106,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1992",49.1470337742694,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1993",50.192918653443,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1994",51.6291561352015,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1995",51.3757786265556,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1996",50.254166758888,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1997",50.7807502529377,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1998",52.9011196140599,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","1999",55.2589640649437,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2000",58.0625722601075,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2001",62.6191945771055,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2002",72.5588744313601,
"AUS","HOUSECOST","PRICERENT","IDX2015","A","2003",84.0720047447781,
