PROVEITOS GLOBAIS em estabelecimentos hoteleiros, aldeamentos e apartamentos turísticos e outros;;;;;;;;;;;;;;
;;;;;;;;;;;;;;€
NUTS II;;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Norte;;170 408 537;164 709 750;183 465 244;208 399 979;213 701 033;207 591 160;218 295 427;223 803 063;212 894 185;223 778 158;249 373 904;297 405 999;361 990 623
Centro;;145 625 744;150 866 290;163 060 594;180 882 857;189 447 899;179 091 123;187 688 828;187 233 492;167 298 406;161 279 703;176 658 791;201 081 643;228 115 658
Lisboa;;468 224 336;443 181 255;497 849 987;577 118 512;570 533 075;492 820 189;525 310 259;562 040 285;541 318 909;587 267 686;677 783 681;772 489 282;876 052 451
Alentejo;;46 723 926;45 743 409;48 252 562;59 283 884;56 906 045;57 588 449;59 456 592;64 082 022;57 196 636;55 317 676;63 167 198;72 261 123;84 533 475
Algarve;;454 860 041;487 717 790;531 971 318;581 116 073;581 532 386;521 847 970;541 142 584;569 204 185;585 730 992;609 988 108;687 932 960;757 698 143;908 355 705
Açores;;45 279 370;52 556 095;54 155 339;54 965 379;54 633 968;49 163 181;48 904 708;46 852 107;41 984 795;44 672 444;44 620 296;54 300 675;70 678 957
Madeira;;248 708 273;248 903 394;262 699 814;281 823 799;297 847 435;255 851 807;226 737 934;252 790 554;250 026 015;272 264 972;293 369 054;323 745 532;377 751 518
Total Global;;1 579 830 227;1 593 677 983;1 741 454 858;1 943 590 483;1 964 601 841;1 763 953 879;1 807 536 332;1 906 005 708;1 856 449 938;1 954 568 747;2 192 905 884;2 478 982 397;2 907 478 387
;;;;;;;;;;;;;;
