Proveitos Globais | NUTS II;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;janeiro;;fevereiro;;março;;abril;;maio;;junho;;julho;;agosto;;setembro;;outubro;;novembro;;dezembro;;Acumulado;
;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018
Norte;18 793 438;21 307 178;20 465 581;22 455 893;25 240 408;31 908 125;36 322 632;39 574 729;42 246 842;49 102 261;42 456 199;47 587 989;45 354 278;48 038 446;54 205 152;58 874 488;50 340 048;;41 611 932;;25 830 783;;28 161 284;;431 028 577;318 849 109
Centro;11 013 700;12 316 775;11 854 769;13 887 875;14 685 871;17 810 012;21 334 091;21 490 126;25 861 605;25 053 135;25 473 469;24 846 459;29 962 841;31 050 985;40 961 454;41 441 153;32 391 779;;27 487 491;;14 939 628;;16 757 984;;272 724 682;187 896 520
A.M. Lisboa;47 900 805;55 323 252;50 202 339;56 915 086;69 675 816;81 778 952;91 624 919;98 194 247;106 576 953;120 624 189;100 692 371;114 894 768;104 183 999;117 233 479;111 087 112;115 485 028;129 996 483;;118 234 879;;76 596 964;;60 513 124;;1 067 285 764;760 449 001
Alentejo;3 768 707;4 066 884;4 184 487;4 675 641;4 744 409;5 944 611;8 199 542;7 135 593;8 087 106;9 558 663;9 776 540;10 467 719;12 727 752;13 642 386;17 459 817;17 639 264;12 236 847;;8 746 772;;5 204 440;;6 039 282;;101 175 701;73 130 761
Algarve;16 615 849;17 541 666;24 423 171;25 305 809;38 706 231;45 390 051;71 526 104;68 930 727;88 647 186;94 469 939;123 032 261;130 765 876;181 040 371;187 437 638;220 021 946;227 146 874;138 500 743;;84 724 421;;25 798 552;;19 415 639;;1 032 452 474;796 988 580
Açores;2 436 657;2 930 497;2 932 155;3 178 267;4 298 294;4 914 444;6 633 237;6 947 207;8 584 595;9 193 030;10 476 615;11 572 834;13 404 186;14 477 003;13 955 733;14 965 204;10 924 215;;7 143 080;;3 507 749;;3 325 761;;87 622 277;68 178 486
Madeira;22 586 633;24 555 754;23 680 153;25 409 699;31 146 852;32 690 948;34 553 430;35 693 652;36 342 423;36 741 745;38 565 832;38 527 451;43 385 246;41 338 443;47 315 820;46 940 920;40 914 356;;35 724 560;;26 152 812;;25 169 750;;405 537 867;281 898 612
Total Global;123 115 789;138 042 006;137 742 655;151 828 270;188 497 881;220 437 143;270 193 955;277 966 281;316 346 710;344 742 962;350 473 287;378 663 096;430 058 673;453 218 380;505 007 034;522 492 931;772 353 503;;561 434 460;;279 094 846;;272 449 251;;3 397 827 342;2 487 391 069
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Proveitos Globais por Tipologia | NUTS II;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;janeiro;;fevereiro;;março;;abril;;maio;;junho;;julho;;agosto;;setembro;;outubro;;novembro;;dezembro;;Acumulado;
;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018
Norte;18 793 438;21 307 178;20 465 581;22 455 893;25 240 408;31 908 125;36 322 632;39 574 729;42 246 842;49 102 261;42 456 199;47 587 989;45 354 278;48 038 446;54 205 152;58 874 488;50 340 048;;41 611 932;;25 830 783;;28 161 284;;431 028 577;318 849 109
Hotéis;16 976 253;19 197 545;18 511 673;20 199 758;23 013 919;28 971 399;33 136 379;36 241 765;38 606 247;44 986 163;38 414 648;43 419 675;40 379 761;43 298 874;47 901 558;53 114 537;45 482 983;;37 822 488;;23 434 938;;25 181 297;;388 862 144;289 429 716
5*;4 470 131;4 632 208;4 752 591;4 656 457;5 790 647;7 089 796;8 322 140;9 371 532;10 126 731;12 209 507;10 108 698;11 654 309;10 263 827;10 561 595;10 830 892;11 966 577;11 685 490;;9 682 793;;5 786 252;;6 368 653;;98 188 845;72 141 981
4*;7 600 888;8 951 514;8 493 768;9 777 515;10 697 412;13 731 317;15 524 662;17 186 648;17 851 740;20 653 968;17 829 287;20 126 814;18 593 891;20 386 026;22 586 691;25 230 655;21 173 551;;17 778 242;;11 055 916;;11 878 817;;181 064 865;136 044 457
3*;2 889 930;3 266 344;3 081 037;3 322 386;3 833 395;4 784 145;5 572 985;5 771 775;6 365 344;7 267 483;6 256 407;6 959 752;6 952 421;7 229 700;8 757 820;9 423 190;7 559 733;;6 320 869;;3 907 782;;4 279 517;;65 777 240;48 024 775
2* e 1*;2 015 304;2 347 479;2 184 277;2 443 400;2 692 465;3 366 141;3 716 592;3 911 810;4 262 432;4 855 205;4 220 256;4 678 800;4 569 622;5 121 553;5 726 155;6 494 115;5 064 209;;4 040 584;;2 684 988;;2 654 310;;43 831 194;33 218 503
